trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,volatility_regime,trend_regime,split,month,spec_hash
23,2025-06-02 14:11:00,2025-06-02 14:12:00,SHORT,103964.92,104042.89369,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999894,-0.0015999999999999895,0.0014263465022625722,0.0002396962359995877,104011.97965933573,104082.38678396089,57.1868959066397,72.431330806363,High,Ranging,train,2025-06,c555ac9efd53
24,2025-06-02 15:00:00,2025-06-02 15:06:00,SHORT,104176.61,103968.25678,TP,6,5e-05,0.0008,0.0008500000000000001,0.0020000000000000434,0.0011500000000000433,0.0002969956499832575,0.002342752370229725,104221.84971216066,104202.88118248073,82.88524731395593,81.81309484716162,High,Ranging,train,2025-06,c555ac9efd53
25,2025-06-02 15:33:00,2025-06-02 15:34:00,LONG,104380.95,104302.6642875,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000091,-0.0016000000000000092,0.0012094160859811172,0.0,104255.03197354221,104221.80967780297,16.95295545665373,18.693634874579054,Medium,Ranging,train,2025-06,c555ac9efd53
26,2025-06-02 15:37:00,2025-06-02 15:51:00,LONG,104267.75,104476.2855,TP,14,5e-05,0.0008,0.0008500000000000001,0.0019999999999999823,0.0011499999999999822,0.00018030503199697808,0.002455792898571204,104255.2509292079,104224.47888333729,17.361360628359535,11.752521891844568,Low,Ranging,train,2025-06,c555ac9efd53
27,2025-06-03 12:36:00,2025-06-03 13:06:00,LONG,105300.0,105395.68,MAX_HOLD,30,5e-05,0.0008,0.0008500000000000001,0.0009086419753085756,5.8641975308575556e-05,0.0004178537511870845,0.0010714150047484044,105103.4113859256,104828.84947539998,9.701003225136091,5.382717670860258,Low,Trending,train,2025-06,c555ac9efd53
28,2025-06-03 13:24:00,2025-06-03 13:31:00,LONG,105419.31,105340.24551749999,SL,7,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000512,-0.0016000000000000513,0.0009004042997435503,0.00043198916782900734,105337.7271559675,105161.33048995608,66.55674495213628,39.68775608458562,Low,Ranging,train,2025-06,c555ac9efd53
29,2025-06-03 15:06:00,2025-06-03 15:09:00,LONG,106572.39,106492.4607075,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000424,-0.0016000000000000424,0.0012804442126146032,0.000260667889685113,106161.30718661111,105867.55165922559,48.467464958692794,27.606261969339993,High,Trending,train,2025-06,c555ac9efd53
30,2025-06-03 15:36:00,2025-06-03 15:46:00,LONG,106663.41,106583.4124425,SL,10,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999901,-0.0015999999999999903,0.0007747736548081429,0.0007711172931748572,106479.94090331667,106201.88744735389,31.559004627101288,22.897376209366517,Medium,Trending,train,2025-06,c555ac9efd53
31,2025-06-04 12:01:00,2025-06-04 12:03:00,SHORT,105014.72,105093.48104,SL,2,5e-05,0.0008,0.0008500000000000001,-0.000749999999999977,-0.001599999999999977,0.0008120766307808928,2.932922165579974e-05,106422.80107167605,106290.82726343862,28.75822220605826,57.88380477433409,Medium,Ranging,train,2025-06,c555ac9efd53
32,2025-06-04 12:12:00,2025-06-04 12:22:00,SHORT,105134.79,104924.52041999999,TP,10,5e-05,0.0008,0.0008500000000000001,0.0020000000000000707,0.0011500000000000707,0.00021382075333969353,0.002073528657830581,105957.30954030174,106058.32118843192,90.22653277132252,88.40696872992042,Low,Ranging,train,2025-06,c555ac9efd53
