trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,asia_high,asia_low,asia_range_pct,session_candle_num,split,month,spec_hash,cumulative_pnl_pct,equity_usdt,peak_equity,rolling_drawdown_pct,underwater_trades
767,2025-02-10 12:15:00,2025-02-10 12:30:00,LONG,97603.77,97457.36434500001,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999489,-0.002349999999999949,0.0022359792044918474,0.00038666539212563905,97640.02,95256.0,2.5027504829092173,3,holdout,2025-02,5210f76300b0,-0.628702211034345,3712.9778896565504,9976.5,-62.78276059082293,767
768,2025-02-16 12:10:00,2025-02-16 13:40:00,SHORT,97255.67,96915.27515500001,TP,18,5e-05,0.0008,0.0008500000000000001,0.0034999999999998765,0.0026499999999998764,0.0001752082937684574,0.003657164667108797,97704.47,97212.0,0.5065938361519166,2,holdout,2025-02,5210f76300b0,-0.626052211034345,3739.4778896565495,9976.5,-62.5171363739132,768
769,2025-02-21 12:05:00,2025-02-21 13:00:00,LONG,98642.58,98987.82903000001,TP,11,5e-05,0.0008,0.0008500000000000001,0.003500000000000064,0.0026500000000000638,0.0011237540623938041,0.006157787032739799,98610.17,98084.06,0.5363868502180686,1,holdout,2025-02,5210f76300b0,-0.623402211034345,3765.97788965655,9976.5,-62.25151215700346,769
770,2025-03-10 12:30:00,2025-03-10 12:35:00,LONG,82825.27,82701.032095,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000213,-0.0023500000000000213,0.002307387588353175,0.0016048242281612635,82797.95,80037.62,3.448790706170426,6,holdout,2025-03,5210f76300b0,-0.6257522110343451,3742.477889656549,9976.5,-62.48706570784795,770
771,2025-03-10 12:40:00,2025-03-10 12:45:00,LONG,82906.5,83196.67275,TP,1,5e-05,0.0008,0.0008500000000000001,0.003499999999999975,0.002649999999999975,0.0,0.005168593536091799,82797.95,80037.62,3.448790706170426,8,holdout,2025-03,5210f76300b0,-0.6231022110343452,3768.9778896565485,9976.5,-62.221441490938226,771
772,2025-03-13 12:05:00,2025-03-13 12:15:00,SHORT,82867.9,82992.20185,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000419,-0.002350000000000042,0.0018218152022677198,0.0013428601424676967,84336.33,82851.0,1.7927725676213948,1,holdout,2025-03,5210f76300b0,-0.6254522110343452,3745.4778896565476,9976.5,-62.45699504178271,772
773,2025-03-13 12:40:00,2025-03-13 12:45:00,SHORT,82747.84,82871.96176,SL,1,5e-05,0.0008,0.0008500000000000001,-0.00150000000000011,-0.00235000000000011,0.003134583331722069,0.0007150639823347444,84336.33,82851.0,1.7927725676213948,8,holdout,2025-03,5210f76300b0,-0.6278022110343453,3721.977889656547,9976.5,-62.6925485926272,773
774,2025-03-13 12:50:00,2025-03-13 12:55:00,SHORT,82697.5,82408.05875000001,TP,1,5e-05,0.0008,0.0008500000000000001,0.003499999999999866,0.002649999999999866,0.0,0.004975966625351431,84336.33,82851.0,1.7927725676213948,10,holdout,2025-03,5210f76300b0,-0.6251522110343455,3748.4778896565454,9976.5,-62.426924375717476,774
775,2025-03-20 12:05:00,2025-03-20 12:15:00,SHORT,85359.36,85487.39904,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000386,-0.0023500000000000387,0.0018252245565102984,0.0,87453.67,85430.38,2.3683495262458076,1,holdout,2025-03,5210f76300b0,-0.6275022110343456,3724.9778896565444,9976.5,-62.66247792656198,775
776,2025-03-20 12:30:00,2025-03-20 13:35:00,SHORT,85371.82,85499.87773000001,SL,13,5e-05,0.0008,0.0008500000000000001,-0.001500000000000005,-0.002350000000000005,0.0019731335234506784,0.0034115472763729293,87453.67,85430.38,2.3683495262458076,6,holdout,2025-03,5210f76300b0,-0.6298522110343455,3701.477889656545,9976.5,-62.898031477406455,776
777,2025-03-24 12:30:00,2025-03-24 13:00:00,LONG,87337.84,87206.83324,SL,6,5e-05,0.0008,0.0008500000000000001,-0.0014999999999998775,-0.0023499999999998774,0.0016120160516906944,0.0013993934358807268,87300.0,85519.09,2.082470709171489,6,holdout,2025-03,5210f76300b0,-0.6322022110343454,3677.9778896565463,9976.5,-63.13358502825093,777
778,2025-03-28 12:05:00,2025-03-28 12:25:00,SHORT,85164.01,85291.756015,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0015000000000001356,-0.002350000000000136,0.0031697661958380264,0.0007068713650284562,87515.67,85162.48,2.7631769295586537,1,holdout,2025-03,5210f76300b0,-0.6345522110343456,3654.4778896565444,9976.5,-63.36913857909543,778
779,2025-03-28 12:35:00,2025-03-28 12:45:00,SHORT,85083.39,85211.015085,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000816,-0.0023500000000000816,0.0015702242235529852,0.002296452926946134,87515.67,85162.48,2.7631769295586537,7,holdout,2025-03,5210f76300b0,-0.6369022110343456,3630.9778896565435,9976.5,-63.60469212993992,779
780,2025-03-28 12:50:00,2025-03-28 13:10:00,SHORT,85193.39,85321.180085,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000063,-0.0023500000000000066,0.0018382881582714409,0.002579425469511191,87515.67,85162.48,2.7631769295586537,10,holdout,2025-03,5210f76300b0,-0.6392522110343456,3607.477889656544,9976.5,-63.8402456807844,780
781,2025-04-01 12:50:00,2025-04-01 13:30:00,LONG,83634.7,83509.24795,SL,8,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999116,-0.0023499999999999116,0.001610575514708573,0.0022814692944435463,83597.07,82432.74,1.4124606315403343,10,holdout,2025-04,5210f76300b0,-0.6416022110343456,3583.9778896565444,9976.5,-64.07579923162888,781
782,2025-04-12 12:40:00,2025-04-12 12:45:00,LONG,83923.04,83797.15544,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999998968,-0.002349999999999897,0.0022942448223991123,0.0,83830.62,82792.95,1.2533313524883438,8,holdout,2025-04,5210f76300b0,-0.6439522110343454,3560.477889656546,9976.5,-64.31135278247335,782
783,2025-04-12 13:00:00,2025-04-12 13:20:00,LONG,83829.86,83704.11521,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999643,-0.002349999999999964,0.003277352485140799,0.003154961728434187,83830.62,82792.95,1.2533313524883438,12,holdout,2025-04,5210f76300b0,-0.6463022110343454,3536.9778896565463,9976.5,-64.54690633331785,783
