trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,pullback_stoch_min,pullback_stoch_max,volatility_regime,trend_regime,split,month,spec_hash,pb_depth_bucket
20,2019-03-11 15:30:00,2019-03-11 15:35:00,SHORT,3849.06,3851.946795,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999722,-0.001599999999999972,0.0012028910954882774,0.0,3868.645543028394,3881.0074597518096,20.787417175738497,23.88997061006546,20.787417175738497,63.10801543623922,High,Trending,train,2019-03,3509407d0c39,
21,2019-03-21 13:25:00,2019-03-21 13:30:00,LONG,4030.69,4027.6669825,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000374,-0.0016000000000000376,0.00263478461504107,8.187183832046802e-05,4027.4187014686036,4015.840884958645,19.409784159217732,21.127229939014615,14.16117462448002,24.152524556217656,High,Trending,train,2019-03,3509407d0c39,10-15
22,2019-03-25 14:05:00,2019-03-25 14:15:00,SHORT,3977.35,3980.3330125,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000788,-0.0016000000000000788,0.0009151822193168499,0.0004751907677221951,3984.663182308697,3987.839183853473,17.83920090348983,23.478942898581284,17.83920090348983,70.5713347720491,Low,Trending,train,2019-03,3509407d0c39,15-20
23,2019-03-25 14:40:00,2019-03-25 14:45:00,SHORT,3980.28,3983.2652100000005,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000702,-0.0016000000000000701,0.0008768227360888634,5.024772126590914e-05,3983.8635524374554,3986.9942076293078,70.72122475347614,78.08972647966378,57.03987661800587,83.99079078512408,Low,Trending,train,2019-03,3509407d0c39,
24,2019-03-26 13:35:00,2019-03-26 14:00:00,SHORT,3907.01,3909.9402575000004,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000389,-0.0016000000000000389,0.002794976209428596,0.0017942109183237867,3942.360674264706,3960.410950964452,47.746086956521914,62.293140096618636,47.746086956521914,88.07999999999998,High,Trending,train,2019-03,3509407d0c39,
25,2019-04-01 13:35:00,2019-04-01 13:50:00,LONG,4137.88,4146.155760000001,TP,3,5e-05,0.0008,0.0008500000000000001,0.0020000000000001076,0.0011500000000001075,0.0005485900992779966,0.0022136939688922478,4121.951367354331,4108.939968176241,41.605968725513826,28.323557104405065,12.397166760428078,41.605968725513826,High,Trending,train,2019-04,3509407d0c39,10-15
26,2019-04-01 15:10:00,2019-04-01 15:35:00,LONG,4141.98,4138.873514999999,SL,5,5e-05,0.0008,0.0008500000000000001,-0.00075000000000006,-0.0016000000000000601,0.0010043505762943941,0.0016803557718772272,4134.889321559536,4120.785332485668,30.199436473384726,24.578006969948017,18.244551486220285,37.81419383829103,Low,Ranging,train,2019-04,3509407d0c39,15-20
27,2019-04-11 13:25:00,2019-04-11 13:30:00,SHORT,5006.94,5010.695205,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000774,-0.0016000000000000775,0.002630349075483244,0.0,5110.737643137745,5139.147177720604,46.69176499273734,62.72201200779944,46.69176499273734,87.8742471978767,High,Trending,train,2019-04,3509407d0c39,
28,2019-04-11 14:45:00,2019-04-11 14:55:00,SHORT,4996.32,5000.067239999999,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999384,-0.0015999999999999385,0.003738751721266911,0.001264930989207999,5057.643473133816,5100.69102056056,62.420580589032504,75.03265798213444,62.420580589032504,87.96572824249456,Medium,Trending,train,2019-04,3509407d0c39,
29,2019-04-15 13:35:00,2019-04-15 13:40:00,LONG,5117.0,5113.162249999999,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000001166,-0.0016000000000001165,0.0007817080320500293,0.0004670705491499565,5086.732618726383,5072.504344693821,37.56838332390137,26.976108495786036,17.483159275895648,51.90577194944782,Low,Trending,train,2019-04,3509407d0c39,15-20
