trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,asia_high,asia_low,asia_range_pct,session_candle_num,split,month,spec_hash,asia_range_bucket
759,2025-04-01 12:50:00,2025-04-01 12:55:00,SHORT,83634.7,83760.15205,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000855,-0.0023500000000000855,0.001505714733238806,0.0002325589737273774,83597.07,82432.74,1.4124606315403343,10,holdout,2025-04,5210f76300b0,Q2
760,2025-04-01 13:00:00,2025-04-01 13:05:00,SHORT,83615.26,83740.68289,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000198,-0.0023500000000000196,0.00156095908808995,0.00023034072967057404,83597.07,82432.74,1.4124606315403343,12,holdout,2025-04,5210f76300b0,Q2
761,2025-04-12 12:40:00,2025-04-12 13:10:00,SHORT,83923.04,84048.92456,SL,6,5e-05,0.0008,0.0008500000000000001,-0.00150000000000007,-0.00235000000000007,0.0015598815295537853,0.003126316682522408,83830.62,82792.95,1.2533313524883438,8,holdout,2025-04,5210f76300b0,Q2
762,2025-04-16 12:10:00,2025-04-16 12:25:00,SHORT,84109.61,84235.774415,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000779,-0.0023500000000000777,0.0018118024801208733,0.0011978417210589847,83960.0,83111.64,1.0207475150291832,2,holdout,2025-04,5210f76300b0,Q1 (tight)
763,2025-04-16 12:40:00,2025-04-16 13:15:00,SHORT,83946.02,83652.20893000001,TP,7,5e-05,0.0008,0.0008500000000000001,0.0034999999999999537,0.0026499999999999536,0.0,0.0038122117046168963,83960.0,83111.64,1.0207475150291832,8,holdout,2025-04,5210f76300b0,Q1 (tight)
764,2025-04-19 12:10:00,2025-04-19 13:20:00,SHORT,85293.24,85421.17986,SL,14,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999833,-0.002349999999999983,0.0015096155334232203,0.001169260307147559,85300.0,84364.45,1.108938658404106,2,holdout,2025-04,5210f76300b0,Q1 (tight)
765,2025-04-25 12:30:00,2025-04-25 12:35:00,SHORT,94467.22,94608.92083,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000167,-0.002350000000000017,0.0031356908777457533,0.0,94444.0,92855.96,1.7102187086321583,6,holdout,2025-04,5210f76300b0,Q2
766,2025-04-25 12:55:00,2025-04-25 13:00:00,SHORT,94406.2,94547.80930000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000001165,-0.0023500000000001168,0.0017502028468468801,0.0,94444.0,92855.96,1.7102187086321583,11,holdout,2025-04,5210f76300b0,Q2
767,2025-05-03 12:40:00,2025-05-03 15:00:00,LONG,96125.79,96462.230265,TP,28,5e-05,0.0008,0.0008500000000000001,0.003500000000000125,0.002650000000000125,0.0004763549927651424,0.0039911245462847045,96935.67,96132.67,0.8353039606618645,8,holdout,2025-05,5210f76300b0,Q1 (tight)
768,2025-05-04 12:20:00,2025-05-04 13:15:00,LONG,95553.21,95409.88018500002,SL,11,5e-05,0.0008,0.0008500000000000001,-0.0014999999999998957,-0.0023499999999998956,0.002126563827630821,0.00043985963422891637,96304.48,95588.0,0.7495501527388333,4,holdout,2025-05,5210f76300b0,Q1 (tight)
769,2025-05-06 12:35:00,2025-05-06 13:05:00,LONG,93920.83,93779.948755,SL,6,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999664,-0.0023499999999999667,0.002101450764436338,0.0012688346131523567,94926.99,94012.78,0.9724316204669262,7,holdout,2025-05,5210f76300b0,Q1 (tight)
