trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,pullback_stoch_min,pullback_stoch_max,volatility_regime,trend_regime,split,month,spec_hash,cumulative_pnl_pct,equity_usdt,peak_equity,rolling_drawdown_pct,underwater_trades
68,2025-08-01 12:48:00,2025-08-01 13:10:00,SHORT,115848.01,115934.89600749999,SL,22,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999784,-0.0015999999999999786,0.0008803776603500159,0.0018286891591835826,115967.13348747858,116545.1016883816,82.67974653348928,79.19200566203676,74.12450073099764,82.67974653348928,Medium,Trending,train,2025-08,65d674ca66c2,-0.055013179324170276,9449.868206758298,9984.0,-5.3498777367958965,68
69,2025-08-04 12:34:00,2025-08-04 13:04:00,LONG,114401.19,114392.13,MAX_HOLD,30,5e-05,0.0008,0.0008500000000000001,-7.919498040184434e-05,-0.0009291949804018444,0.0006402031307541926,0.0008673860822601227,114303.49494284435,114148.74309854876,41.932659657198236,24.29124475027743,6.627749226540462,41.932659657198236,Low,Ranging,train,2025-08,65d674ca66c2,-0.05594237430457212,9440.576256954279,9984.0,-5.442946144288076,69
70,2025-08-04 14:39:00,2025-08-04 14:40:00,LONG,115230.0,115143.5775,SL,1,5e-05,0.0008,0.0008500000000000001,-0.000750000000000005,-0.001600000000000005,0.0014131736526945804,0.0,115154.13848518688,114913.3427524798,12.862413868292956,18.747798995424382,12.862413868292956,25.31340481292278,High,Trending,train,2025-08,65d674ca66c2,-0.057542374304572125,9424.576256954279,9984.0,-5.603202554544486,70
71,2025-08-05 12:55:00,2025-08-05 12:57:00,SHORT,113978.47,114063.95385250001,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000759,-0.001600000000000076,0.0010524794726582297,0.0,114288.6653704673,114488.14177378995,53.57389721757054,67.0768516562511,53.57389721757054,83.07591323894913,Low,Trending,train,2025-08,65d674ca66c2,-0.0591423743045722,9408.576256954277,9984.0,-5.763458964800915,71
72,2025-08-05 13:08:00,2025-08-05 13:14:00,SHORT,113931.51,114016.9586325,SL,6,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000303,-0.0016000000000000302,0.0008907983401607268,3.23878793495125e-05,114178.02339524831,114380.14722187226,40.23111817783897,61.55341217661308,40.23111817783897,83.85696927616662,Medium,Trending,train,2025-08,65d674ca66c2,-0.06074237430457223,9392.576256954279,9984.0,-5.923715375057307,72
73,2025-08-05 15:01:00,2025-08-05 15:02:00,SHORT,112792.08,112876.67406,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000273,-0.0016000000000000274,0.0010905020990835527,0.0,113149.7422498156,113491.64188408693,51.54702042747537,73.19928311847885,51.54702042747537,96.24817113118176,High,Trending,train,2025-08,65d674ca66c2,-0.062342374304572255,9376.576256954279,9984.0,-6.083971785313716,73
74,2025-08-06 15:13:00,2025-08-06 15:34:00,LONG,114949.18,115179.07836,TP,21,5e-05,0.0008,0.0008500000000000001,0.002000000000000057,0.0011500000000000568,0.0006577689375425387,0.002800367953908055,114628.01354100456,114412.47656500671,47.35925991950535,31.367547553879945,14.024207690004125,47.35925991950535,Medium,Trending,train,2025-08,65d674ca66c2,-0.0611923743045722,9388.076256954277,9984.0,-5.96878749044194,74
75,2025-08-10 12:34:00,2025-08-10 12:53:00,LONG,118623.18,118534.212615,SL,19,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999687,-0.0015999999999999686,0.0008532059248453114,0.0009617007401083141,118143.79782650761,117722.12573923296,74.21201486603915,60.85692143025697,16.787969531950797,74.21201486603915,High,Trending,train,2025-08,65d674ca66c2,-0.06279237430457217,9372.076256954279,9984.0,-6.129043900698332,75
76,2025-08-10 13:02:00,2025-08-10 13:18:00,LONG,118498.88,118410.00584,SL,16,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000563,-0.0016000000000000562,0.0009426249429531456,0.0015611118012253844,118449.96966848579,118102.64436191574,56.34564889517791,36.57958266840168,20.183535740398156,56.34564889517791,Medium,Trending,train,2025-08,65d674ca66c2,-0.06439237430457223,9356.076256954279,9984.0,-6.289300310954743,76
77,2025-08-11 12:16:00,2025-08-11 12:31:00,LONG,120137.98,120047.876515,SL,15,5e-05,0.0008,0.0008500000000000001,-0.000749999999999997,-0.001599999999999997,0.002883184817990032,0.0013512795870216153,119525.63048806995,119178.24176543308,35.935539485003424,23.381931818056312,7.3593008933147255,35.935539485003424,High,Trending,train,2025-08,65d674ca66c2,-0.06599237430457222,9340.076256954277,9984.0,-6.449556721211171,77
78,2025-08-11 12:33:00,2025-08-11 12:34:00,LONG,120273.04,120182.83522,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000002,-0.0016000000000000003,0.0010882738143144915,0.0,119839.65626803586,119462.3774739101,58.775559366977184,34.42180611778057,12.38864772498011,58.775559366977184,High,Trending,train,2025-08,65d674ca66c2,-0.06759237430457223,9324.076256954279,9984.0,-6.609813131467564,78
79,2025-08-13 12:16:00,2025-08-13 12:33:00,LONG,120577.97,120487.5365225,SL,17,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000206,-0.0016000000000000207,0.0009730633216001376,0.00018179108505474303,120111.92989145766,119833.83548162758,66.49145463245377,52.97998036261105,22.500353527908516,66.49145463245377,Medium,Trending,train,2025-08,65d674ca66c2,-0.06919237430457224,9308.076256954277,9984.0,-6.770069541723991,79
80,2025-08-13 14:20:00,2025-08-13 14:23:00,LONG,121925.19,121833.7461075,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999958,-0.001599999999999996,0.0020581472950749746,0.0018438355519478596,121513.84781826219,121101.37585058186,58.78280885659262,31.04206170791346,6.174442935894053,58.78280885659262,High,Trending,train,2025-08,65d674ca66c2,-0.07079237430457223,9292.076256954279,9984.0,-6.930325951980383,80
81,2025-08-14 12:47:00,2025-08-14 12:48:00,SHORT,119634.88,119395.61024000001,TP,1,5e-05,0.0008,0.0008500000000000001,0.001999999999999963,0.0011499999999999631,0.0,0.004064199337183279,120208.22728708948,120542.35651551386,71.82737098239261,77.2845675406489,71.82737098239261,92.55736047633498,High,Trending,train,2025-08,65d674ca66c2,-0.06964237430457228,9303.576256954277,9984.0,-6.815141657108607,81
82,2025-08-14 12:49:00,2025-08-14 12:50:00,SHORT,119202.99,119292.3922425,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000024,-0.0016000000000000025,0.0014364572566509944,0.0,120135.01067908568,120491.89748735922,31.060355641902145,50.27134852411328,31.060355641902145,82.11702937211015,High,Trending,train,2025-08,65d674ca66c2,-0.07124237430457228,9287.576256954277,9984.0,-6.975398067365017,82
83,2025-08-14 13:17:00,2025-08-14 13:18:00,SHORT,118899.0,118661.202,TP,1,5e-05,0.0008,0.0008500000000000001,0.0019999999999999597,0.0011499999999999596,0.0,0.002514739400667794,119279.08249422346,119796.10389461997,24.437485437260317,55.57243823079714,24.437485437260317,96.9654151009873,High,Trending,train,2025-08,65d674ca66c2,-0.07009237430457232,9299.076256954277,9984.0,-6.860213772493222,83
84,2025-08-14 13:19:00,2025-08-14 13:21:00,SHORT,118625.24,118714.20893000001,SL,2,5e-05,0.0008,0.0008500000000000001,-0.000750000000000023,-0.001600000000000023,0.0010504509832814717,0.0013570467802637152,119224.86586260307,119748.2024616381,1.7672500144264207,11.122064302378577,1.7672500144264207,84.9803444923253,Medium,Trending,train,2025-08,65d674ca66c2,-0.07169237430457234,9283.076256954277,9984.0,-7.020470182749633,84
85,2025-08-17 12:33:00,2025-08-17 12:55:00,LONG,118280.0,118191.29,SL,22,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000541,-0.001600000000000054,0.0007591308758876699,0.0,118134.07200290044,117991.27306743467,47.69087813772569,27.042357577458784,0.008159934716135556,47.69087813772569,High,Trending,train,2025-08,65d674ca66c2,-0.0732923743045724,9267.076256954277,9984.0,-7.180726593006042,85
86,2025-08-18 12:17:00,2025-08-18 12:33:00,SHORT,115121.89,115208.2314175,SL,16,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000615,-0.0016000000000000614,0.0008186106048120408,0.0012095875076408144,116614.23242788967,117272.11812319857,54.644549053461674,71.25588508705714,54.644549053461674,93.775338936852,High,Trending,train,2025-08,65d674ca66c2,-0.07489237430457246,9251.076256954277,9984.0,-7.340983003262454,86
87,2025-08-18 12:37:00,2025-08-18 12:38:00,SHORT,115145.45,115231.8090875,SL,1,5e-05,0.0008,0.0008500000000000001,-0.000750000000000071,-0.001600000000000071,0.0009154508493388449,0.0,115793.53485520897,116562.0661552454,56.255621881829654,65.97117562758055,56.255621881829654,99.0274037673879,High,Trending,train,2025-08,65d674ca66c2,-0.07649237430457254,9235.076256954275,9984.0,-7.501239413518881,87
88,2025-08-18 12:39:00,2025-08-18 12:40:00,SHORT,115164.46,115250.833345,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999997,-0.0015999999999999999,0.000771852705252987,5.8524999813355944e-05,115744.89916468925,116507.13017621411,52.74510327033709,54.60158706376223,52.74510327033709,80.73533706703401,High,Trending,train,2025-08,65d674ca66c2,-0.07809237430457254,9219.076256954275,9984.0,-7.661495823775291,88
89,2025-08-18 12:47:00,2025-08-18 12:56:00,SHORT,115247.99,115334.42599250001,SL,9,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000227,-0.0016000000000000228,0.0013015411375070403,0.00033250037592852584,115612.12272437765,116322.69308341325,48.97470320935574,66.46510310838711,48.97470320935574,84.22213354041676,High,Trending,train,2025-08,65d674ca66c2,-0.07969237430457256,9203.076256954275,9984.0,-7.8217522340317025,89
90,2025-08-20 15:40:00,2025-08-20 15:44:00,LONG,114025.68,113940.16073999999,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000083,-0.0016000000000000083,0.0010110003290486743,0.0009727633284012234,113948.06417419379,113729.73860580657,24.945621623257797,27.71465941195508,7.127525263955902,30.526021823268636,Medium,Trending,train,2025-08,65d674ca66c2,-0.08129237430457256,9187.076256954275,9984.0,-7.982008644288112,90
91,2025-08-21 15:28:00,2025-08-21 15:29:00,SHORT,112927.86,113012.555895,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999744,-0.0015999999999999745,0.0010716576051295408,0.0,113121.48720341313,113242.50003440595,26.338422791565375,45.172212069628756,26.338422791565375,89.49786504820162,Medium,Trending,train,2025-08,65d674ca66c2,-0.08289237430457254,9171.076256954275,9984.0,-8.142265054544524,91
92,2025-08-22 14:25:00,2025-08-22 14:26:00,LONG,115036.76,115266.83352,TP,1,5e-05,0.0008,0.0008500000000000001,0.002000000000000047,0.0011500000000000468,0.0,0.002218682097792136,114001.25166492636,113384.09879516155,47.13204929494294,28.31107682903887,17.633798064680345,47.13204929494294,High,Trending,train,2025-08,65d674ca66c2,-0.08174237430457248,9182.576256954275,9984.0,-8.027080759672728,92
93,2025-08-22 14:28:00,2025-08-22 14:30:00,LONG,114995.81,115225.80162,TP,2,5e-05,0.0008,0.0008500000000000001,0.002000000000000006,0.001150000000000006,0.00010835177386021153,0.0035665647296192742,114121.04581953338,113481.81556916518,65.20622623915021,70.29826193317557,20.167383127493196,75.92043553988168,Medium,Trending,train,2025-08,65d674ca66c2,-0.08059237430457247,9194.076256954275,9984.0,-7.9118964648009324,93
94,2025-08-22 15:01:00,2025-08-22 15:02:00,LONG,116102.0,116334.204,TP,1,5e-05,0.0008,0.0008500000000000001,0.001999999999999982,0.0011499999999999818,0.0,0.0028994332569637444,115418.97475660189,114629.74817723564,70.63325634966142,43.411048218282026,14.2021851616909,70.63325634966142,High,Trending,train,2025-08,65d674ca66c2,-0.07944237430457249,9205.576256954275,9984.0,-7.796712169929138,94
95,2025-08-25 12:18:00,2025-08-25 12:19:00,SHORT,111223.57,111306.98767750002,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000784,-0.0016000000000000784,0.0011473287541479385,0.0,112782.72177420817,113519.45421108653,81.95950294568958,83.11907630190643,57.84512641122717,87.85913494067267,High,Trending,train,2025-08,65d674ca66c2,-0.08104237430457256,9189.576256954275,9984.0,-7.956968580185548,95
96,2025-08-25 12:33:00,2025-08-25 12:44:00,SHORT,111520.01,111603.6500075,SL,11,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999849,-0.0015999999999999851,0.0007772596146647366,0.0016491210859825869,112211.86258702877,112998.69047232765,33.258884044347354,60.7384529557015,33.258884044347354,98.738466228177,Medium,Trending,train,2025-08,65d674ca66c2,-0.08264237430457255,9173.576256954275,9984.0,-8.117224990441958,96
97,2025-08-25 12:47:00,2025-08-25 12:58:00,SHORT,111513.49,111597.1251175,SL,11,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000161,-0.0016000000000000161,0.0008706569940551273,0.0009461635538445556,111910.22670088749,112633.8068411481,44.560947348905025,66.60923560152357,44.560947348905025,92.7806390447647,Medium,Trending,train,2025-08,65d674ca66c2,-0.08424237430457257,9157.576256954275,9984.0,-8.277481400698369,97
98,2025-08-26 12:32:00,2025-08-26 12:33:00,SHORT,109806.17,109888.5246275,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999741,-0.0015999999999999743,0.0009364683241388143,0.0,110395.62097810366,110985.92200551422,85.78171907635654,78.04791489592316,71.40079780322951,85.78171907635654,Medium,Trending,train,2025-08,65d674ca66c2,-0.08584237430457255,9141.576256954275,9984.0,-8.43773781095478,98
99,2025-08-28 12:32:00,2025-08-28 12:35:00,LONG,113051.74,112966.951195,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000334,-0.0016000000000000335,0.0011864479042958973,0.0005878724201855881,112625.44600916277,112342.37361785925,61.50832581233186,38.880737955006204,15.881698337272669,61.50832581233186,Medium,Trending,train,2025-08,65d674ca66c2,-0.08744237430457258,9125.576256954275,9984.0,-8.597994221211188,99
