trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,asia_high,asia_low,asia_range_pct,session_candle_num,rej_efficiency,rej_wick_pct,rej_reclaim_pct,rej_candle_num,split,month,spec_hash,asia_range_bucket
355,2024-11-11 12:25:00,2024-11-11 12:30:00,SHORT,81776.0,81898.664,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000527,-0.0023500000000000526,0.005920074349442322,0.0,81846.71,80216.01,2.032885953813973,5,3.9497949370664447,0.0034123546322142157,0.0008639320994088388,4,holdout,2024-11,b1325240c0f4,Q3
356,2024-11-12 12:50:00,2024-11-12 12:55:00,LONG,86697.73,86567.683405,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999137,-0.002349999999999914,0.004547408565368436,0.00025675412724196256,89940.0,86561.35,3.903185428600633,10,0.1651147444827639,0.0002601623010732165,0.0015756454814995309,9,holdout,2024-11,b1325240c0f4,Q4 (wide)
357,2024-11-17 12:10:00,2024-11-17 12:15:00,SHORT,90824.01,90960.246015,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000245,-0.002350000000000025,0.0017174973886311038,0.0009128643406076096,90888.0,89364.0,1.7053847186786624,2,0.6261331666145705,0.0004407622568435621,0.0007039433148490001,1,holdout,2024-11,b1325240c0f4,Q2
358,2024-11-21 12:20:00,2024-11-21 12:25:00,SHORT,97778.59,97925.257885,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000263,-0.0023500000000000265,0.0037947980227573635,0.0,97852.0,94040.0,4.053594215227562,4,0.5447486718431186,0.0004086784122961742,0.0007502146098189459,3,holdout,2024-11,b1325240c0f4,Q4 (wide)
359,2024-11-30 12:05:00,2024-11-30 14:30:00,LONG,96357.04,96694.28964,TP,29,5e-05,0.0008,0.0008500000000000001,0.0035000000000000946,0.0026500000000000946,0.0005089404987948322,0.003766823887491837,97463.95,96309.85,1.19831979802688,1,1.4345338983053086,0.0007030433543402507,0.0004900848667088267,0,holdout,2024-11,b1325240c0f4,Q2
360,2024-12-09 12:10:00,2024-12-09 12:15:00,LONG,98396.0,98248.406,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999727,-0.0023499999999999728,0.003048904427009228,0.00031749258099928086,101215.93,98328.0,2.9370372630379884,2,2.038817820908898,0.001410178179155515,0.0006916646326579892,1,holdout,2024-12,b1325240c0f4,Q4 (wide)
361,2024-12-13 12:15:00,2024-12-13 13:35:00,SHORT,100331.99,99980.82803500001,TP,16,5e-05,0.0008,0.0008500000000000001,0.0034999999999999207,0.0026499999999999206,0.001381413844178624,0.003944305300831821,100356.85,99205.0,1.1610805906960393,3,3.2582461786000847,0.000807119793018613,0.00024771602536349617,2,holdout,2024-12,b1325240c0f4,Q2
362,2024-12-17 12:55:00,2024-12-17 13:20:00,SHORT,107128.86,107289.55329000001,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000948,-0.002350000000000095,0.0017810326741085727,0.0013796469037381982,107143.29,105657.34,1.4063859642879493,11,2.3742203742221686,0.00031975870817490593,0.000134679455894933,10,holdout,2024-12,b1325240c0f4,Q2
363,2025-01-01 12:05:00,2025-01-01 12:20:00,LONG,93500.47,93827.72164500001,TP,3,5e-05,0.0008,0.0008500000000000001,0.0035000000000001198,0.0026500000000001197,0.0009989254599468236,0.0036537784248571654,94509.42,93489.03,1.0914542593927858,1,6.529720279718697,0.0007990242277623064,0.00012236729806697457,0,holdout,2025-01,b1325240c0f4,Q1 (tight)
364,2025-01-08 12:10:00,2025-01-08 12:15:00,LONG,95279.85,95136.930225,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000221,-0.002350000000000022,0.002643266126048748,0.0,97268.65,95250.76,2.1185027815001156,2,2.251289102783286,0.0006875535691262799,0.0003054043873246897,1,holdout,2025-01,b1325240c0f4,Q3
365,2025-01-09 12:50:00,2025-01-09 13:10:00,LONG,93346.55,93206.530175,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999545,-0.0023499999999999546,0.0028003177407200236,0.0014959310226248257,95382.32,93186.38,2.356503171386207,10,0.19434386315398935,0.0003340616944236342,0.0017189207263979243,9,holdout,2025-01,b1325240c0f4,Q3
366,2025-01-10 12:10:00,2025-01-10 13:30:00,SHORT,94971.79,94639.388735,TP,16,5e-05,0.0008,0.0008500000000000001,0.003499999999999928,0.002649999999999928,0.0009674451750357097,0.019355852932749766,95000.0,92431.73,2.778558834720506,2,4.15668202764864,0.001234315789473629,0.00029694736842112004,1,holdout,2025-01,b1325240c0f4,Q3
367,2025-01-12 12:15:00,2025-01-12 14:05:00,LONG,94433.8,94764.31830000001,TP,22,5e-05,0.0008,0.0008500000000000001,0.0035000000000001124,0.0026500000000001123,0.0013847796022187402,0.004653524479582492,94699.0,94274.01,0.45080293073351313,3,0.19764676430092615,0.0003349809772598169,0.001694846755749531,2,holdout,2025-01,b1325240c0f4,Q1 (tight)
368,2025-01-16 12:15:00,2025-01-16 13:05:00,LONG,99261.22,99112.32817000001,SL,10,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999315,-0.0023499999999999316,0.0029068754141849972,0.002586206375460546,100866.66,99170.0,1.7108601391549898,3,2.1546809910107476,0.0019819501865483806,0.0009198346274074938,2,holdout,2025-01,b1325240c0f4,Q2
369,2025-01-23 12:30:00,2025-01-23 12:40:00,LONG,101706.58,101554.02013,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999736,-0.0023499999999999736,0.0020311370218131586,0.002319810576660845,103819.99,101575.5,2.2096765460174996,6,1.2167213364864158,0.001570260545111764,0.0012905671151015403,5,holdout,2025-01,b1325240c0f4,Q3
370,2025-01-24 12:10:00,2025-01-24 12:15:00,SHORT,105220.01,105377.840015,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999957,-0.0023499999999999958,0.0018626685171385675,0.0,105355.0,102750.0,2.535279805352798,2,0.8323579524408936,0.0010664894879217938,0.0012812870770253452,1,holdout,2025-01,b1325240c0f4,Q3
371,2025-02-01 12:10:00,2025-02-01 13:50:00,LONG,102123.0,101969.81550000001,SL,20,5e-05,0.0008,0.0008500000000000001,-0.001499999999999887,-0.002349999999999887,0.002056343820686819,0.002017273288093718,102783.71,102118.56,0.6513507436846042,2,8.316853932588533,0.0003624218751223555,4.35767993594611e-05,1,holdout,2025-02,b1325240c0f4,Q1 (tight)
372,2025-02-02 12:10:00,2025-02-02 12:15:00,LONG,99122.0,98973.31700000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.001499999999999899,-0.002349999999999899,0.0023607271846815036,0.0001538508101127903,101456.6,99031.19,2.4491374889062762,2,0.9842545694781641,0.0009026449141931892,0.0009170848093413038,1,holdout,2025-02,b1325240c0f4,Q3
373,2025-02-06 12:35:00,2025-02-06 12:40:00,SHORT,98356.31,98503.844465,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000434,-0.0023500000000000435,0.0021775928763493424,0.0,98436.61,96430.78,2.080072358639017,7,2.588967749968924,0.002112222271774681,0.0008158549954127602,6,holdout,2025-02,b1325240c0f4,Q3
374,2025-02-10 12:15:00,2025-02-10 12:40:00,SHORT,97603.77,97262.156805,TP,5,5e-05,0.0008,0.0008500000000000001,0.00349999999999998,0.00264999999999998,0.00038666539212563905,0.003560313295275377,97640.02,95256.0,2.5027504829092173,3,1.710540838851593,0.0006348831145260999,0.00037115928489163803,2,holdout,2025-02,b1325240c0f4,Q3
375,2025-02-16 12:20:00,2025-02-16 13:05:00,LONG,97220.47,97074.639295,SL,9,5e-05,0.0008,0.0008500000000000001,-0.001500000000000003,-0.002350000000000003,0.002194908129944233,0.0004455851735749933,97704.47,97212.0,0.5065938361519166,4,0.7674144037779346,6.686417314734806e-05,8.712916100894092e-05,3,holdout,2025-02,b1325240c0f4,Q1 (tight)
376,2025-02-21 12:10:00,2025-02-21 12:15:00,SHORT,98561.03,98708.871545,SL,1,5e-05,0.0008,0.0008500000000000001,-0.00150000000000003,-0.00235000000000003,0.0023485955859024192,0.0,98610.17,98084.06,0.5363868502180686,2,0.7462352462352195,0.00037186833771808985,0.000498325882614333,1,holdout,2025-02,b1325240c0f4,Q1 (tight)
377,2025-02-27 12:05:00,2025-02-27 12:10:00,SHORT,86690.0,86386.585,TP,1,5e-05,0.0008,0.0008500000000000001,0.0034999999999999263,0.0026499999999999263,0.0,0.005046372130580241,86737.0,84026.96,3.2252029586694477,1,1.2531914893615783,0.0006790642978197791,0.0005418679456287397,0,holdout,2025-02,b1325240c0f4,Q4 (wide)
378,2025-03-10 12:35:00,2025-03-10 12:40:00,SHORT,82659.54,82783.52931,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000542,-0.0023500000000000543,0.006979472665829169,0.0,82797.95,80037.62,3.448790706170426,7,1.010403872552578,0.0016890514801393734,0.0016716597451990477,6,holdout,2025-03,b1325240c0f4,Q4 (wide)
379,2025-03-13 12:05:00,2025-03-13 12:20:00,LONG,82867.9,83157.93764999999,TP,3,5e-05,0.0008,0.0008500000000000001,0.003499999999999981,0.002649999999999981,0.0013428601424676967,0.004544703075617948,84336.33,82851.0,1.7927725676213948,1,1.9905381431103808,0.00040627149943879364,0.00020410133854755516,0,holdout,2025-03,b1325240c0f4,Q3
380,2025-03-20 12:20:00,2025-03-20 12:25:00,LONG,85502.48,85374.22628,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999222,-0.0023499999999999225,0.0016817056066677084,0.0,87453.67,85430.38,2.3683495262458076,4,0.8752947704259797,0.0007386131256820562,0.0008438450115754666,3,holdout,2025-03,b1325240c0f4,Q3
381,2025-03-28 12:10:00,2025-03-28 12:30:00,LONG,85191.24,85063.45314000001,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999163,-0.0023499999999999164,0.0021471691220834237,0.004912476916640725,87515.67,85162.48,2.7631769295586537,2,0.7054937413069202,0.00023825045959198932,0.0003377074035421387,1,holdout,2025-03,b1325240c0f4,Q3
382,2025-04-12 12:50:00,2025-04-12 13:05:00,SHORT,83770.24,83895.89536000001,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000512,-0.0023500000000000513,0.0029454374250329316,0.0006359060210404563,83830.62,82792.95,1.2533313524883438,10,0.3210203743582268,0.00023118044456792348,0.000720142592289015,9,holdout,2025-04,b1325240c0f4,Q2
383,2025-04-16 12:40:00,2025-04-16 13:15:00,SHORT,83946.02,83652.20893000001,TP,7,5e-05,0.0008,0.0008500000000000001,0.0034999999999999537,0.0026499999999999536,0.0,0.0038122117046168963,83960.0,83111.64,1.0207475150291832,8,11.090128755367582,0.0018465936160075465,0.00016650786088608771,7,holdout,2025-04,b1325240c0f4,Q1 (tight)
384,2025-04-19 12:50:00,2025-04-19 13:20:00,SHORT,85233.13,85360.97969500002,SL,6,5e-05,0.0008,0.0008500000000000001,-0.0015000000000001373,-0.0023500000000001376,0.002215922376662635,0.00036957460086236416,85300.0,84364.45,1.108938658404106,10,0.2888755980862087,0.00022649472450184037,0.0007840562719812973,9,holdout,2025-04,b1325240c0f4,Q1 (tight)
385,2025-04-25 12:55:00,2025-04-25 13:00:00,SHORT,94406.2,94547.80930000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000001165,-0.0023500000000001168,0.0017502028468468801,0.0,94444.0,92855.96,1.7102187086321583,11,6.124636147129831,0.0024506585913345166,0.0004001312947354368,10,holdout,2025-04,b1325240c0f4,Q2
386,2025-05-03 12:45:00,2025-05-03 15:00:00,LONG,96140.01,96476.500035,TP,27,5e-05,0.0008,0.0008500000000000001,0.0035000000000001024,0.0026500000000001024,0.0004161638843182434,0.003842624938358209,96935.67,96132.67,0.8353039606618645,9,4.0136054421736915,0.0003068675820613325,7.645683824246035e-05,8,holdout,2025-05,b1325240c0f4,Q1 (tight)
387,2025-05-04 12:50:00,2025-05-04 13:15:00,LONG,95589.13,95445.74630500001,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999664,-0.0023499999999999667,0.002501539662511939,6.391940171440604e-05,96304.48,95588.0,0.7495501527388333,10,20.0,0.0006216261455412631,1.1821567560830403e-05,9,holdout,2025-05,b1325240c0f4,Q1 (tight)
388,2025-05-08 12:15:00,2025-05-08 12:20:00,SHORT,99383.83,99532.90574500001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000924,-0.0023500000000000925,0.0015562893883240185,0.0,99419.0,96876.29,2.6246979524092082,3,1.6810687890850244,0.0005948561140224647,0.0003538559027951701,2,holdout,2025-05,b1325240c0f4,Q3
389,2025-05-25 12:05:00,2025-05-25 12:15:00,LONG,107215.38,107590.63383,TP,2,5e-05,0.0008,0.0008500000000000001,0.0035000000000000135,0.0026500000000000135,0.0,0.003587358455475281,108288.69,107206.0,1.0099154898046774,1,2.5816435432245837,0.00022564035595024838,8.740182452470331e-05,0,holdout,2025-05,b1325240c0f4,Q1 (tight)
390,2025-05-27 12:20:00,2025-05-27 13:05:00,SHORT,109641.77,109806.23265500001,SL,9,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000937,-0.0023500000000000938,0.005286215280909789,0.0016897757123038426,109666.0,107516.57,1.9991616175999598,4,3.7483498349827125,0.0008285156748673297,0.00022103477832696768,3,holdout,2025-05,b1325240c0f4,Q3
391,2025-05-29 12:45:00,2025-05-29 13:30:00,SHORT,108429.17,108049.66790500001,TP,9,5e-05,0.0008,0.0008500000000000001,0.0034999999999998977,0.0026499999999998977,0.0014916650196621928,0.004392637147365359,108484.61,106948.01,1.4367728768398833,9,2.3315295815293893,0.0011915054126110125,0.0005110402295772859,8,holdout,2025-05,b1325240c0f4,Q2
392,2025-06-01 12:45:00,2025-06-01 13:15:00,LONG,103942.1,104305.89735000001,TP,6,5e-05,0.0008,0.0008500000000000001,0.003500000000000077,0.0026500000000000768,0.0008170895142584916,0.0039887591264751365,104729.99,103924.52,0.7750528941581843,9,1.1240045506261291,0.00019013799630740956,0.00016916123355683284,8,holdout,2025-06,b1325240c0f4,Q1 (tight)
393,2025-06-11 12:35:00,2025-06-11 12:40:00,LONG,109765.25,109600.602125,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999554,-0.0023499999999999554,0.0022359535463181016,0.0006776279378036733,110274.4,109373.67,0.8235345856091288,7,0.24881250319217676,0.0008907994035492547,0.003580203535275005,6,holdout,2025-06,b1325240c0f4,Q1 (tight)
